Event,Lap,Driver,GapToLeader_Secs
Australian Grand Prix,8.0,LEC,4.302
Australian Grand Prix,8.0,STR,10.288
Australian Grand Prix,8.0,TSU,5.506
Australian Grand Prix,8.0,ALB,5.785
Australian Grand Prix,8.0,HUL,11.003
Australian Grand Prix,8.0,LAW,17.308
Australian Grand Prix,8.0,OCO,15.785
Australian Grand Prix,8.0,NOR,0.0
Australian Grand Prix,8.0,HAM,6.483
Australian Grand Prix,8.0,BOR,14.478
Australian Grand Prix,8.0,RUS,3.199
Australian Grand Prix,8.0,PIA,2.01
Australian Grand Prix,8.0,BEA,19.847
Australian Grand Prix,9.0,VER,0.631
Australian Grand Prix,9.0,GAS,8.613
Australian Grand Prix,9.0,ANT,13.374
Australian Grand Prix,9.0,ALO,9.668
Australian Grand Prix,9.0,LEC,4.5969999999999995
Australian Grand Prix,9.0,STR,11.903
Australian Grand Prix,9.0,TSU,6.277
Australian Grand Prix,9.0,ALB,7.447
Australian Grand Prix,9.0,HUL,12.875
Australian Grand Prix,9.0,LAW,21.109
Australian Grand Prix,9.0,OCO,19.196
Australian Grand Prix,9.0,NOR,0.0
Australian Grand Prix,9.0,HAM,8.087
Australian Grand Prix,9.0,BOR,16.503
Australian Grand Prix,9.0,RUS,3.434
Australian Grand Prix,9.0,PIA,1.95
Australian Grand Prix,9.0,BEA,23.773
Australian Grand Prix,10.0,VER,1.151
Australian Grand Prix,10.0,GAS,12.01
Australian Grand Prix,10.0,ANT,16.514
Australian Grand Prix,10.0,ALO,13.107
Australian Grand Prix,10.0,LEC,6.006
Australian Grand Prix,10.0,STR,14.913
Australian Grand Prix,10.0,TSU,8.58
Australian Grand Prix,10.0,ALB,9.811
Australian Grand Prix,10.0,HUL,15.789
Australian Grand Prix,10.0,LAW,25.593
Australian Grand Prix,10.0,OCO,23.54
Australian Grand Prix,10.0,NOR,0.0
Australian Grand Prix,10.0,HAM,11.064
Australian Grand Prix,10.0,BOR,19.998
Australian Grand Prix,10.0,RUS,4.891
Australian Grand Prix,10.0,PIA,2.492
Australian Grand Prix,10.0,BEA,28.054
Australian Grand Prix,11.0,VER,1.415
Australian Grand Prix,11.0,GAS,14.523
Australian Grand Prix,11.0,ANT,19.003
Australian Grand Prix,11.0,ALO,16.218
Australian Grand Prix,11.0,LEC,8.068
Australian Grand Prix,11.0,STR,17.696
