EventName,Lap,Driver,GapToLeader_Secs
Bahrain Grand Prix,6.0,HAM,9.967
Bahrain Grand Prix,6.0,SAI,8.225
Bahrain Grand Prix,6.0,RUS,10.652
Bahrain Grand Prix,6.0,BOT,15.632
Bahrain Grand Prix,6.0,PIA,23.43
Bahrain Grand Prix,7.0,VER,0.0
Bahrain Grand Prix,7.0,GAS,27.669
Bahrain Grand Prix,7.0,PER,6.422
Bahrain Grand Prix,7.0,ALO,14.096
Bahrain Grand Prix,7.0,LEC,5.373
Bahrain Grand Prix,7.0,STR,15.718
Bahrain Grand Prix,7.0,SAR,23.883
Bahrain Grand Prix,7.0,MAG,30.576
Bahrain Grand Prix,7.0,DEV,28.439
Bahrain Grand Prix,7.0,TSU,24.773
Bahrain Grand Prix,7.0,ALB,21.766
Bahrain Grand Prix,7.0,ZHO,27.157
Bahrain Grand Prix,7.0,HUL,25.682
Bahrain Grand Prix,7.0,OCO,19.949
Bahrain Grand Prix,7.0,NOR,23.028
Bahrain Grand Prix,7.0,HAM,11.703
Bahrain Grand Prix,7.0,SAI,9.706
Bahrain Grand Prix,7.0,RUS,12.687
Bahrain Grand Prix,7.0,BOT,18.175
Bahrain Grand Prix,7.0,PIA,26.576
Bahrain Grand Prix,8.0,VER,0.0
Bahrain Grand Prix,8.0,GAS,30.688
Bahrain Grand Prix,8.0,PER,7.44
Bahrain Grand Prix,8.0,ALO,15.901
Bahrain Grand Prix,8.0,LEC,5.833
Bahrain Grand Prix,8.0,STR,17.365
Bahrain Grand Prix,8.0,SAR,26.597
Bahrain Grand Prix,8.0,MAG,33.705
Bahrain Grand Prix,8.0,DEV,31.515
Bahrain Grand Prix,8.0,TSU,27.465
Bahrain Grand Prix,8.0,ALB,24.53
Bahrain Grand Prix,8.0,ZHO,30.187
Bahrain Grand Prix,8.0,HUL,28.777
Bahrain Grand Prix,8.0,OCO,22.357
Bahrain Grand Prix,8.0,NOR,25.731
Bahrain Grand Prix,8.0,HAM,13.816
Bahrain Grand Prix,8.0,SAI,11.331
Bahrain Grand Prix,8.0,RUS,14.843
Bahrain Grand Prix,8.0,BOT,20.408
Bahrain Grand Prix,8.0,PIA,29.717
Bahrain Grand Prix,9.0,VER,0.0
Bahrain Grand Prix,9.0,GAS,36.611
Bahrain Grand Prix,9.0,PER,8.076
Bahrain Grand Prix,9.0,ALO,17.898
Bahrain Grand Prix,9.0,LEC,6.383
Bahrain Grand Prix,9.0,STR,19.193
Bahrain Grand Prix,9.0,SAR,29.227
Bahrain Grand Prix,9.0,MAG,36.705
Bahrain Grand Prix,9.0,DEV,34.81
Bahrain Grand Prix,9.0,TSU,30.197
Bahrain Grand Prix,9.0,ALB,27.221
Bahrain Grand Prix,9.0,ZHO,33.435
Bahrain Grand Prix,9.0,HUL,32.114
Bahrain Grand Prix,9.0,OCO,24.945
Bahrain Grand Prix,9.0,NOR,28.236
Bahrain Grand Prix,9.0,HAM,15.861
Bahrain Grand Prix,9.0,SAI,12.797
Bahrain Grand Prix,9.0,RUS,16.985
Bahrain Grand Prix,9.0,BOT,22.405
