Event,Lap,Driver,GapToLeader_Secs
Bahrain Grand Prix,1.0,VER,0.0
Bahrain Grand Prix,1.0,PER,2.769
Bahrain Grand Prix,1.0,SAI,3.336
Bahrain Grand Prix,1.0,LEC,0.987
Bahrain Grand Prix,1.0,RUS,1.944
Bahrain Grand Prix,1.0,NOR,4.884
Bahrain Grand Prix,1.0,HAM,5.838
Bahrain Grand Prix,1.0,PIA,5.239
Bahrain Grand Prix,1.0,ALO,4.395
Bahrain Grand Prix,1.0,STR,12.93
Bahrain Grand Prix,1.0,ZHO,7.517
Bahrain Grand Prix,1.0,MAG,7.065
Bahrain Grand Prix,1.0,RIC,8.384
Bahrain Grand Prix,1.0,TSU,6.201
Bahrain Grand Prix,1.0,ALB,6.604
Bahrain Grand Prix,1.0,HUL,16.271
Bahrain Grand Prix,1.0,OCO,9.373
Bahrain Grand Prix,1.0,GAS,9.956
Bahrain Grand Prix,1.0,BOT,11.252
Bahrain Grand Prix,1.0,SAR,8.637
Bahrain Grand Prix,2.0,VER,0.0
Bahrain Grand Prix,2.0,PER,3.014
Bahrain Grand Prix,2.0,SAI,4.276
Bahrain Grand Prix,2.0,LEC,1.553
Bahrain Grand Prix,2.0,RUS,2.283
Bahrain Grand Prix,2.0,NOR,6.598
Bahrain Grand Prix,2.0,HAM,7.8149999999999995
Bahrain Grand Prix,2.0,PIA,7.325
Bahrain Grand Prix,2.0,ALO,6.119
Bahrain Grand Prix,2.0,STR,14.621
Bahrain Grand Prix,2.0,ZHO,10.141
Bahrain Grand Prix,2.0,MAG,9.68
Bahrain Grand Prix,2.0,RIC,11.597
Bahrain Grand Prix,2.0,TSU,8.594
Bahrain Grand Prix,2.0,ALB,9.134
Bahrain Grand Prix,2.0,HUL,50.886
Bahrain Grand Prix,2.0,OCO,12.171
Bahrain Grand Prix,2.0,GAS,12.719
Bahrain Grand Prix,2.0,BOT,13.215
Bahrain Grand Prix,2.0,SAR,10.822
Bahrain Grand Prix,3.0,VER,0.0
Bahrain Grand Prix,3.0,PER,3.558
Bahrain Grand Prix,3.0,SAI,4.603
Bahrain Grand Prix,3.0,LEC,2.862
Bahrain Grand Prix,3.0,RUS,1.936
Bahrain Grand Prix,3.0,NOR,7.632
Bahrain Grand Prix,3.0,HAM,9.365
Bahrain Grand Prix,3.0,PIA,8.83
Bahrain Grand Prix,3.0,ALO,8.412
Bahrain Grand Prix,3.0,STR,16.147
Bahrain Grand Prix,3.0,ZHO,11.97
Bahrain Grand Prix,3.0,MAG,11.326
Bahrain Grand Prix,3.0,RIC,13.604
Bahrain Grand Prix,3.0,TSU,10.272
Bahrain Grand Prix,3.0,ALB,10.888
Bahrain Grand Prix,3.0,HUL,51.45
Bahrain Grand Prix,3.0,OCO,14.189
Bahrain Grand Prix,3.0,GAS,14.71
Bahrain Grand Prix,3.0,BOT,15.299
Bahrain Grand Prix,3.0,SAR,12.776
Bahrain Grand Prix,4.0,VER,0.0
Bahrain Grand Prix,4.0,PER,4.633
Bahrain Grand Prix,4.0,SAI,5.22
Bahrain Grand Prix,4.0,LEC,3.967
Bahrain Grand Prix,4.0,RUS,3.027
Bahrain Grand Prix,4.0,NOR,8.435
Bahrain Grand Prix,4.0,HAM,11.005
Bahrain Grand Prix,4.0,PIA,10.08
Bahrain Grand Prix,4.0,ALO,9.541
Bahrain Grand Prix,4.0,STR,17.864
